,Website,Total Img Count,Optimized Img Count,Actual Bytes,Transferred Bytes,q-75,q-70,q-60,q-50,q-40
0,grammarly.com,57.0,10.0,7456098.0,2176885.0,2088372.0,2087674.0,2086418.0,2085164.0,2084302.0
1,aparat.com,13.0,1.0,5473698.0,1802029.0,1788679.0,1788589.0,1788429.0,1788285.0,1788107.0
2,stackexchange.com,76.0,60.0,2207711.0,1585795.0,1068868.0,997176.0,897546.0,809345.0,715612.0
3,twitch.tv,100.0,81.0,7806947.0,4406488.0,3734592.0,3702450.0,3643574.0,3590678.0,3537838.0
4,walmart.com,49.0,21.0,2542634.0,1519404.0,1001361.0,989839.0,971069.0,953219.0,935135.0
5,live.com,33.0,15.0,4987206.0,2555783.0,1692066.0,1653318.0,1582080.0,1518956.0,1454348.0
6,udemy.com,16.0,7.0,3110327.0,963242.0,875293.0,872979.0,868853.0,864815.0,860687.0
7,soundcloud.com,29.0,19.0,7363698.0,2322421.0,2089110.0,2080486.0,2064228.0,2049296.0,2033910.0
8,okta.com,105.0,7.0,16417202.0,10791474.0,10636074.0,10629370.0,10616936.0,10605914.0,10595642.0
9,zhihu.com,8.0,2.0,4057200.0,1621473.0,1480437.0,1471123.0,1448923.0,1430273.0,1409725.0
10,stackoverflow.com,31.0,14.0,1896113.0,617079.0,590942.0,588550.0,583500.0,579046.0,573670.0
11,google.com.hk,6.0,2.0,1479716.0,493993.0,492968.0,492904.0,492712.0,492508.0,492272.0
12,mail.ru,140.0,12.0,3953782.0,1584897.0,1559920.0,1559102.0,1557584.0,1556268.0,1554890.0
13,tianya.cn,21.0,6.0,570957.0,357292.0,203210.0,201296.0,197834.0,194628.0,191232.0
14,bbc.com,56.0,19.0,7678067.0,2889968.0,2404790.0,2395288.0,2380236.0,2365136.0,2350193.0
15,canva.com,50.0,20.0,3452187.0,1572169.0,1485303.0,1472893.0,1457691.0,1448981.0,1440999.0
16,theguardian.com,86.0,82.0,4905396.0,2114278.0,1957860.0,1930854.0,1865613.0,1794407.0,1684495.0
17,savefrom.net,35.0,16.0,1471084.0,775148.0,709445.0,707847.0,704923.0,702343.0,699137.0
18,tradingview.com,67.0,29.0,6448461.0,2325300.0,2232831.0,2224689.0,2212535.0,2186587.0,2154655.0
19,jd.com,86.0,38.0,4446411.0,2655228.0,2060349.0,2045129.0,2018351.0,1990503.0,1951951.0
20,wikipedia.org,7.0,2.0,93426.0,46252.0,36215.0,36011.0,35381.0,34941.0,34505.0
21,twitter.com,6.0,1.0,6177523.0,2211093.0,2211093.0,2211093.0,2211093.0,2179180.0,2139250.0
22,zhanqi.tv,60.0,52.0,3853536.0,2184440.0,1006233.0,990639.0,962497.0,938883.0,912869.0
23,6.cn,99.0,79.0,8749813.0,3752631.0,2381579.0,2353789.0,2304537.0,2262541.0,2220321.0
24,huanqiu.com,56.0,42.0,3136554.0,3032669.0,1579530.0,1519248.0,1416734.0,1318624.0,1204749.0
25,amazon.co.uk,134.0,107.0,3002702.0,2017401.0,1671079.0,1621737.0,1524617.0,1432095.0,1346525.0
26,imdb.com,54.0,33.0,5849587.0,2304367.0,2046435.0,1997135.0,1910067.0,1830159.0,1748527.0
27,jrj.com.cn,71.0,62.0,1304674.0,1331253.0,444317.0,427545.0,397411.0,369183.0,341123.0
28,roblox.com,19.0,8.0,5169511.0,1858325.0,1692069.0,1673155.0,1642443.0,1606703.0,1577317.0
29,flipkart.com,84.0,33.0,3163785.0,939637.0,872827.0,870765.0,866125.0,859299.0,849989.0
30,adobe.com,56.0,0.0,6643760.0,2242686.0,2242686.0,2242686.0,2242686.0,2242686.0,2242686.0
31,facebook.com,8.0,2.0,1230505.0,366969.0,353860.0,353756.0,353532.0,353302.0,353026.0
32,alibaba.com,130.0,58.0,8884428.0,3469952.0,2496083.0,2481263.0,2451642.0,2416553.0,2376263.0
33,google.de,6.0,2.0,1491366.0,493504.0,492479.0,492415.0,492223.0,492019.0,491783.0
34,wetransfer.com,8.0,1.0,5130424.0,2024386.0,1717089.0,1700561.0,1673025.0,1646291.0,1624467.0
35,amazon.de,123.0,6.0,3352372.0,2176187.0,2134470.0,2133290.0,2131268.0,2129320.0,2127400.0
36,google.it,6.0,2.0,1484637.0,492945.0,491920.0,491856.0,491664.0,491460.0,491224.0
37,naver.com,69.0,31.0,3966068.0,2279017.0,1922124.0,1918336.0,1911220.0,1904654.0,1897418.0
38,github.com,13.0,4.0,3149932.0,1068390.0,1065548.0,1064064.0,1061058.0,1058482.0,1055622.0
39,padlet.com,15.0,8.0,1645404.0,827030.0,823694.0,822106.0,820008.0,816452.0,809816.0
40,sindonews.com,73.0,33.0,4705494.0,1947059.0,1574641.0,1568977.0,1557493.0,1544659.0,1529783.0
41,bilibili.com,46.0,27.0,3556573.0,2004341.0,1926766.0,1909972.0,1866976.0,1815538.0,1759964.0
